Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,3.610000,3.800000,3.570000,3.780000,3.780000,38415893
2020-05-07,3.760000,3.830000,3.690000,3.770000,3.770000,38181329
2020-05-08,3.810000,3.850000,3.740000,3.810000,3.810000,43490460
2020-05-11,3.810000,3.990000,3.780000,3.940000,3.940000,70474241
2020-05-12,3.910000,4.020000,3.810000,3.870000,3.870000,48150047
2020-05-13,3.800000,3.820000,3.730000,3.790000,3.790000,32614469
2020-05-14,3.750000,3.780000,3.640000,3.660000,3.660000,31369888
2020-05-15,3.670000,3.700000,3.630000,3.650000,3.650000,15783313
2020-05-18,3.700000,3.740000,3.660000,3.680000,3.680000,20336818
2020-05-19,3.700000,3.750000,3.670000,3.710000,3.710000,20234730
2020-05-20,3.710000,3.710000,3.580000,3.630000,3.630000,23497159
2020-05-21,3.630000,3.630000,3.530000,3.560000,3.560000,14445472
2020-05-22,3.550000,3.580000,3.480000,3.500000,3.500000,12834887
2020-05-25,3.500000,3.540000,3.450000,3.540000,3.540000,9442405
2020-05-26,3.530000,3.630000,3.520000,3.610000,3.610000,13517301
2020-05-27,3.600000,3.610000,3.490000,3.520000,3.520000,12517216
2020-05-28,3.490000,3.540000,3.410000,3.450000,3.450000,13700976
2020-05-29,3.430000,3.470000,3.410000,3.430000,3.430000,8118333
2020-06-01,3.450000,3.530000,3.450000,3.510000,3.510000,9824148
2020-06-02,3.530000,3.530000,3.500000,3.520000,3.520000,11857165
2020-06-03,3.530000,3.620000,3.520000,3.540000,3.540000,19327190
2020-06-04,3.530000,3.560000,3.490000,3.500000,3.500000,10534949
2020-06-05,3.510000,3.520000,3.420000,3.470000,3.470000,11254403
2020-06-08,3.490000,3.500000,3.430000,3.450000,3.450000,8027432
2020-06-09,3.480000,3.520000,3.460000,3.500000,3.500000,9291943
2020-06-10,3.500000,3.550000,3.430000,3.510000,3.510000,13672958
2020-06-11,3.490000,3.540000,3.450000,3.470000,3.470000,12076971
2020-06-12,3.400000,3.450000,3.380000,3.430000,3.430000,9484856
2020-06-15,3.410000,3.440000,3.390000,3.400000,3.400000,6699227
2020-06-16,3.430000,3.610000,3.400000,3.510000,3.510000,17378893
2020-06-17,3.490000,3.490000,3.450000,3.480000,3.480000,10558174
2020-06-18,3.480000,3.520000,3.450000,3.490000,3.490000,7907937
2020-06-19,3.500000,3.520000,3.490000,3.510000,3.510000,9498889
2020-06-22,3.520000,3.530000,3.480000,3.500000,3.500000,7648332
2020-06-23,3.510000,3.510000,3.430000,3.440000,3.440000,9050250
2020-06-24,3.430000,3.450000,3.390000,3.410000,3.410000,7758896
2020-06-29,3.410000,3.430000,3.370000,3.390000,3.390000,6140792
2020-06-30,3.390000,3.440000,3.390000,3.440000,3.440000,7225109
2020-07-01,3.420000,3.500000,3.420000,3.500000,3.500000,13745253
2020-07-02,3.500000,3.550000,3.470000,3.540000,3.540000,18734755
2020-07-03,3.530000,3.830000,3.520000,3.660000,3.660000,36689363
2020-07-06,3.650000,3.830000,3.630000,3.800000,3.800000,45474122
2020-07-07,3.880000,3.890000,3.730000,3.760000,3.760000,38442587
2020-07-08,3.730000,3.900000,3.730000,3.850000,3.850000,41744406
2020-07-09,3.820000,3.950000,3.820000,3.920000,3.920000,44875986
2020-07-10,3.900000,3.950000,3.800000,3.820000,3.820000,31464998
2020-07-13,3.840000,4.080000,3.840000,4.060000,4.060000,62057071
2020-07-14,4.020000,4.180000,3.970000,4.090000,4.090000,49310211
2020-07-15,4.080000,4.240000,3.950000,4.020000,4.020000,60385901
2020-07-16,4.030000,4.090000,3.780000,3.810000,3.810000,50915534
2020-07-17,3.830000,3.950000,3.760000,3.870000,3.870000,28775551
2020-07-20,3.890000,4.150000,3.870000,4.140000,4.140000,51416899
2020-07-21,4.100000,4.140000,4.010000,4.070000,4.070000,30938736
2020-07-22,4.080000,4.090000,3.960000,3.970000,3.970000,31550859
2020-07-23,3.960000,3.970000,3.820000,3.910000,3.910000,29579260
2020-07-24,3.900000,3.970000,3.740000,3.760000,3.760000,28966339
2020-07-27,3.760000,3.790000,3.670000,3.770000,3.770000,19538258
2020-07-28,3.790000,3.830000,3.720000,3.750000,3.750000,16824596
2020-07-29,3.730000,3.820000,3.680000,3.810000,3.810000,17452250
2020-07-30,3.810000,3.850000,3.760000,3.780000,3.780000,13829868
2020-07-31,3.760000,3.810000,3.720000,3.780000,3.780000,16884609
2020-08-03,3.800000,3.910000,3.790000,3.900000,3.900000,25050551
2020-08-04,3.940000,3.940000,3.830000,3.880000,3.880000,23840905
2020-08-05,3.870000,3.900000,3.790000,3.860000,3.860000,18742525
2020-08-06,3.860000,3.870000,3.750000,3.810000,3.810000,19139012
2020-08-07,3.800000,3.840000,3.710000,3.770000,3.770000,15632516
2020-08-10,3.760000,3.980000,3.750000,3.910000,3.910000,32155566
